Category,Description,Price,Location,"Image URL"
"Ordinateurs portables","Des unités Hp Pro i5/8Géga ","399 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=68/68bd7b2a-4966-4bb9-8f6b-a584b55fd420&w=300
Appartements,"A LOUER S+1 – AIN ZAGHOUAN – TEL 56306032 – FB.5771","1200 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=76/762ae694-8cf3-4d30-b2bb-c4aa48bf0731&w=300
Téléphones,y9," TND","Ben Arous, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=3f/3f2d920a-81a6-4033-8544-5cd9164a222a&w=300
"Terrains et Fermes","TERRAIN 412 M² SIDI MANSOUR TAPARURA SFAX","112000 TND","Sfax, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=ef/ef033846-b6f3-470d-a227-8430315da4e1&w=100&w=300
Voitures,"DACIA STEPWAY ","5 TND","Sousse, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=64/64211dd3-95c0-46cd-a11c-43329331b6aa&w=300
Appartements,"🏠Appartement S+2 à La Marsa","1000 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
Appartements,"🏠Appartement S+3 à Cité Les Palmeraies","1250 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
Appartements,"🏠Appartement S+2 à La Marsa","1250 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
"Maisons et Villas","location maison el yasminet ","580 TND","Ben Arous, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=2b/2b1cc40b-8785-49bf-a37e-5c97db92094d&w=300
Appartements,"🏠Appartement S+3 à La Soukra","1500 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
Appartements,"🏠Appartement S+2 à Cité Les Palmeraies","1200 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
Appartements,"A VENDRE S+2 – LA SOUKRA – TEL 56306032 –FB.5100","250000 TND","Ariana, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=33/336a86fe-97ec-4d10-9abb-6deff80dd34f&w=300
"Ordinateurs portables","Des pc HP /DELL /VERSUS/lonovo i5 / 8 Géga 399 dt en promos ","399 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=26/26d7d4c7-9a52-485f-903c-732783762c41&w=300
"Pièces et Accessoires pour véhicules"," tableau de bord Renault clio 3 "," TND","Nabeul, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=7e/7e59babc-1646-4713-8df1-d71d44b76cc1&w=300
"Pièces et Accessoires pour véhicules","afficheur Peugeot partner/ Citroën Berlingo "," TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=0a/0ac9deaf-0e49-41f7-914e-a66ffb1c7308&w=300
Appartements,"🏠Appartement S+3 à Cité Les Palmeraies","1350 TND","Tunis, 17 hours ago",https://www.tayara.tn/mediaGateway/resize-image?img=38/3878bd3b-34f7-4279-a5a2-44153407074b&w=100&w=300
