"Product Name",Descriptions,Price,"URL of Image"
"ALANIA CREME HYDRATANTE SPF 30, 50ML","ALANIA CREME HYDRATANTE SPF 30, 50ML","48,128 TND",https://pharma-shop.tn/19092-large_default/alania-creme-hydratante-spf-30-50ml.jpg
"JOWAE CREME HYDRATANTE TEINTEE 30ML","JOWAE CREME HYDRATANTE TEINTEE 30ML","46,750 TND",https://pharma-shop.tn/10547-large_default/jowae-creme-hydratante-teintee-30ml.jpg
"JOWAE MASQUE MINERAL CLARIFIANT 50ML","JOWAE MASQUE MINERAL CLARIFIANT 50ML","48,523 TND",https://pharma-shop.tn/5778-large_default/jowae-masque-mineral-clarifiant-50ml.jpg
"MAGICLEAR CREME ANTIOXYDANTE ANTI-AGE JOUR SPF...","MAGICLEAR CREME ANTIOXYDANTE ANTI-AGE JOUR SPF...","78,492 TND",https://pharma-shop.tn/21229-large_default/magiclear-creme-antioxydante-anti-age-jour-spf-15-50ml.jpg
"NUXE CREME FRAICHE DE BEAUTE SERUM 30ML","NUXE CREME FRAICHE DE BEAUTE SERUM 30ML","90,258 TND",https://pharma-shop.tn/19142-large_default/nuxe-creme-fraiche-de-beaute-serum-30ml.jpg
"NUXE COFFRET HUILE PRODIGIEUSE OR 50ML+BOUGIE...","NUXE COFFRET HUILE PRODIGIEUSE OR 50ML+BOUGIE...","79,111 TND",https://pharma-shop.tn/19788-large_default/nuxe-coffret-huile-prodigieuse-or-50-ml-bougie-prodigieux-offerte.jpg
"NUXE COFFRET HUILE PRODIGIEUSE FLORALE 50...","NUXE COFFRET HUILE PRODIGIEUSE FLORALE 50...","79,111 TND",https://pharma-shop.tn/19789-large_default/nuxe-coffret-huile-prodigieuse-florale-50-ml-floral-bougie-offerte.jpg
"NUXE COFFRET HUILE PRODIGIEUX OR 100 ML+HUILE...","NUXE COFFRET HUILE PRODIGIEUX OR 100 ML+HUILE...","128,886 TND",https://pharma-shop.tn/19775-large_default/nuxe-coffret-huile-prodigieux-or-100-ml-huile-de-douche-offerte.jpg
"AZAL PACK LOVE YOUR SKIN","AZAL PACK LOVE YOUR SKIN","30,900 TND",https://pharma-shop.tn/19594-large_default/azal-pack-love-your-skin.jpg
"BYPHASSE RETINOL CREME ANTI RIDES 50ML","BYPHASSE RETINOL CREME ANTI RIDES 50ML","39,779 TND",https://pharma-shop.tn/19554-large_default/byphasse-retinol-creme-anti-rides-50ml.jpg
"ALANIA PACK HYDRA PROTECT","ALANIA PACK HYDRA PROTECT","83,995 TND",https://pharma-shop.tn/19542-large_default/alania-pack-hydra-protect.jpg
"GAMARDE ELIXIR HYDRATANT 30ML","GAMARDE ELIXIR HYDRATANT 30ML","68,544 TND",https://pharma-shop.tn/18972-large_default/gamarde-elixir-hydratant-30ml.jpg
"OBLEPIKHA C-BERRICA PROFESSIONAL VITAMIN C...","OBLEPIKHA C-BERRICA PROFESSIONAL VITAMIN C...","70,098 TND",https://pharma-shop.tn/16382-large_default/oblepikha-c-berrica-professional-vitamin-c-masque-visage-super-vitamine-100ml.jpg
"VASELINE POMMADE DERMIQUE 30 G","VASELINE POMMADE DERMIQUE 30 G","3,560 TND",https://pharma-shop.tn/15622-large_default/vaseline-pure-25g.jpg
"L'OREAL PARIS HYALURON EXPERT SOIN NUIT CREME...","L'OREAL PARIS HYALURON EXPERT SOIN NUIT CREME...","34,629 TND",https://pharma-shop.tn/13079-large_default/l-oreal-paris-hyaluron-expert-soin-nuit-creme-masque-repulpant-hydratant-50ml.jpg
"L'OREAL PARIS HYALURON EXPERT SOIN JOUR SPF20...","L'OREAL PARIS HYALURON EXPERT SOIN JOUR SPF20...","39,555 TND",https://pharma-shop.tn/13078-large_default/l-oreal-paris-masque-purifiant-argile-pure-50-ml.jpg
"SEPHORA CREME HYDRATANTE VISAGE EAU DE COCO 55 ML","SEPHORA CREME HYDRATANTE VISAGE EAU DE COCO 55 ML","27,500 TND",https://pharma-shop.tn/11960-large_default/creme-hydratante-et-gelee-hydratante-visage.jpg
"LIERAC HYDRAGENIST MASQUE SOS HYDRATANT 75ML","LIERAC HYDRAGENIST MASQUE SOS HYDRATANT 75ML","100,610 TND",https://pharma-shop.tn/10665-large_default/lierac-hydragenist-masque-sos-hydratant-75ml.jpg
"SVR MASQUE HYDRA INTENSIF [B3]","SVR MASQUE HYDRA INTENSIF [B3]","26,182 TND",https://pharma-shop.tn/19257-large_default/svr-masque-hydra-intensif-b3-.jpg
"MARTIDERM FLASH 1 AMPOULE","MARTIDERM FLASH 1 AMPOULE","12,369 TND",https://pharma-shop.tn/8307-large_default/martiderm-flash-1-ampoules.jpg
"BIODERMA HYDRABIO SERUM CONCENTRE 40ML","BIODERMA HYDRABIO SERUM CONCENTRE 40ML","52,835 TND",https://pharma-shop.tn/5210-large_default/bioderma-hydrabio-serum-concentre-40ml.jpg
"SO'BiO Crème Nuit Intense Hydratante Aloe Vera,...","SO'BiO Crème Nuit Intense Hydratante Aloe Vera,...","45,168 TND",https://pharma-shop.tn/4409-large_default/so-bio-creme-intense-hydratante-nuit-aloe-vera-50ml.jpg
"LIERAC HYDRAGENIST SERUM HYDRATANT OXYGENANT...","LIERAC HYDRAGENIST SERUM HYDRATANT OXYGENANT...","170,379 TND",https://pharma-shop.tn/3890-large_default/lierac-hydragenist-serum-hydratant-oxygenant-repulpant-30ml.jpg
"URIAGE DS EMULSION SOIN REGULATEUR 40ML","URIAGE DS EMULSION SOIN REGULATEUR 40ML","27,200 TND",https://pharma-shop.tn/14803-large_default/uriage-ds-emulsion-soin-regulateur-40ml.jpg
"BIODERMA SEBIUM HYDRA SOIN HYDRATANT...","BIODERMA SEBIUM HYDRA SOIN HYDRATANT...","42,840 TND",https://pharma-shop.tn/3398-large_default/bioderma-sebium-hydra-soin-hydratant-compensateur-40ml-.jpg
